l_010,l_005040,loss,loss_cvar,loss_010,loss_005040,theoretical_loss_010,theoretical_loss_005040,cvar,restriction_loss
0.0,0.0,0.027251452,0.027251452,0.0,0.0,0.35620767,0.47291955,0.027245872,0.8291272
0.0,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
0.0,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
0.0,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
0.0,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
0.0,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
0.1,0.0,0.028028708,0.028028708,0.0,0.0,0.0,0.43060634,0.028008495,0.43060634
0.1,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
0.1,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
0.1,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
0.1,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
0.1,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
1.0,0.0,0.028070156,0.028070156,0.0,0.0,0.0,0.40307423,0.028043106,0.40307423
1.0,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
1.0,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
1.0,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
1.0,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
1.0,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
10.0,0.0,0.028274547,0.028274547,0.0,0.0,0.0,0.37050423,0.028163543,0.37050423
10.0,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
10.0,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
10.0,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
10.0,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
10.0,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
100.0,0.0,0.02882541,0.02882541,0.0,0.0,0.0,0.32466206,0.028165821,0.32466206
100.0,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
100.0,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
100.0,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
100.0,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
100.0,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
1000.0,0.0,0.028328938,0.028328938,0.0,0.0,0.0,0.286056,0.028253278,0.286056
1000.0,0.1,0.030494254,0.029367909,0.0,0.0011263461,0.0,0.01126346,0.029040735,0.01126346
1000.0,1.0,0.029762644,0.029762644,0.0,0.0,0.0,0.0,0.029033706,0.0
1000.0,10.0,0.029323623,0.029323623,0.0,0.0,0.0,0.0,0.02926805,0.0
1000.0,100.0,0.033385247,0.033385247,0.0,0.0,0.0,0.0,0.029264785,0.0
1000.0,1000.0,0.029995188,0.029995188,0.0,0.0,0.0,0.0,0.029268244,0.0
